card_id,card_name,card_number,set_id,set_name,card_market_value,binder_name,page_number,slot_number,index
base4-33,Arcanine,33,base4,Base Set 2,2.09,2,4,6,2-4-6
base4-34,Butterfree,34,base4,Base Set 2,1.7,2,4,7,2-4-7
base4-35,Charmeleon,35,base4,Base Set 2,1.7,2,4,8,2-4-8
base4-36,Dewgong,36,base4,Base Set 2,1.25,2,4,9,2-4-9
base4-37,Dodrio,37,base4,Base Set 2,1.73,2,5,1,2-5-1
base4-38,Dratini,38,base4,Base Set 2,1.18,2,5,2,2-5-2
base4-39,Exeggutor,39,base4,Base Set 2,1.18,2,5,3,2-5-3
base4-40,Farfetch'd,40,base4,Base Set 2,0.52,2,5,4,2-5-4
base4-41,Fearow,41,base4,Base Set 2,1.23,2,5,5,2-5-5
base4-42,Growlithe,42,base4,Base Set 2,1.25,2,5,6,2-5-6
base4-43,Haunter,43,base4,Base Set 2,0.85,2,5,7,2-5-7
base4-44,Ivysaur,44,base4,Base Set 2,3.63,2,5,8,2-5-8
base4-45,Jynx,45,base4,Base Set 2,0.65,2,5,9,2-5-9
base4-46,Kadabra,46,base4,Base Set 2,1.26,2,6,1,2-6-1
base4-47,Kakuna,47,base4,Base Set 2,0.68,2,6,2,2-6-2
base4-48,Lickitung,48,base4,Base Set 2,1.27,2,6,3,2-6-3
base4-49,Machoke,49,base4,Base Set 2,0.59,2,6,4,2-6-4
base4-50,Magikarp,50,base4,Base Set 2,0.91,2,6,5,2-6-5
base4-51,Magmar,51,base4,Base Set 2,1.08,2,6,6,2-6-6
base4-52,Marowak,52,base4,Base Set 2,1.85,2,6,7,2-6-7
base4-53,Nidorina,53,base4,Base Set 2,0.68,2,6,8,2-6-8
base4-54,Nidorino,54,base4,Base Set 2,1.6,2,6,9,2-6-9
base4-55,Parasect,55,base4,Base Set 2,1.03,2,7,1,2-7-1
base4-56,Persian,56,base4,Base Set 2,1.64,2,7,2,2-7-2
base4-57,Poliwhirl,57,base4,Base Set 2,0.9,2,7,3,2-7-3
base4-58,Raticate,58,base4,Base Set 2,0.98,2,7,4,2-7-4
base4-59,Rhydon,59,base4,Base Set 2,1.9,2,7,5,2-7-5
base4-60,Seaking,60,base4,Base Set 2,0.57,2,7,6,2-7-6
base4-61,Seel,61,base4,Base Set 2,0.61,2,7,7,2-7-7
base4-62,Tauros,62,base4,Base Set 2,2.99,2,7,8,2-7-8
base4-63,Wartortle,63,base4,Base Set 2,1.68,2,7,9,2-7-9
base4-64,Weepinbell,64,base4,Base Set 2,1.09,2,8,1,2-8-1
base4-65,Abra,65,base4,Base Set 2,0.43,2,8,2,2-8-2
base4-66,Bellsprout,66,base4,Base Set 2,0.46,2,8,3,2-8-3
base4-67,Bulbasaur,67,base4,Base Set 2,2.29,2,8,4,2-8-4
base4-68,Caterpie,68,base4,Base Set 2,0.42,2,8,5,2-8-5
base4-69,Charmander,69,base4,Base Set 2,1.12,2,8,6,2-8-6
base4-70,Cubone,70,base4,Base Set 2,0.87,2,8,7,2-8-7
base4-71,Diglett,71,base4,Base Set 2,0.41,2,8,8,2-8-8
base4-72,Doduo,72,base4,Base Set 2,0.4,2,8,9,2-8-9
base4-73,Drowzee,73,base4,Base Set 2,0.48,2,9,1,2-9-1
base4-74,Exeggcute,74,base4,Base Set 2,0.51,2,9,2,2-9-2
base4-75,Gastly,75,base4,Base Set 2,0.47,2,9,3,2-9-3
base4-76,Goldeen,76,base4,Base Set 2,0.37,2,9,4,2-9-4
base4-77,Jigglypuff,77,base4,Base Set 2,0.71,2,9,5,2-9-5
base4-78,Machop,78,base4,Base Set 2,0.43,2,9,6,2-9-6
base4-79,Magnemite,79,base4,Base Set 2,0.43,2,9,7,2-9-7
base4-80,Meowth,80,base4,Base Set 2,0.56,2,9,8,2-9-8
base4-81,Metapod,81,base4,Base Set 2,0.44,2,9,9,2-9-9
base4-82,Nidoran ♀,82,base4,Base Set 2,0.49,2,10,1,2-10-1
base4-83,Nidoran ♂,83,base4,Base Set 2,0.56,2,10,2,2-10-2
base4-84,Onix,84,base4,Base Set 2,0.87,2,10,3,2-10-3
base4-85,Paras,85,base4,Base Set 2,0.39,2,10,4,2-10-4
base4-86,Pidgey,86,base4,Base Set 2,0.56,2,10,5,2-10-5
base4-87,Pikachu,87,base4,Base Set 2,2.32,2,10,6,2-10-6
base4-88,Poliwag,88,base4,Base Set 2,0.36,2,10,7,2-10-7
base4-89,Rattata,89,base4,Base Set 2,0.49,2,10,8,2-10-8
base4-90,Rhyhorn,90,base4,Base Set 2,0.44,2,10,9,2-10-9
base4-91,Sandshrew,91,base4,Base Set 2,0.36,2,11,1,2-11-1
base4-92,Spearow,92,base4,Base Set 2,0.49,2,11,2,2-11-2
base4-93,Squirtle,93,base4,Base Set 2,1.03,2,11,3,2-11-3
base4-94,Starmie,94,base4,Base Set 2,0.5,2,11,4,2-11-4
base4-95,Staryu,95,base4,Base Set 2,0.29,2,11,5,2-11-5
base4-96,Tangela,96,base4,Base Set 2,0.37,2,11,6,2-11-6
base4-97,Venonat,97,base4,Base Set 2,0.56,2,11,7,2-11-7
base4-98,Voltorb,98,base4,Base Set 2,0.53,2,11,8,2-11-8
base4-99,Vulpix,99,base4,Base Set 2,0.81,2,11,9,2-11-9
base4-100,Weedle,100,base4,Base Set 2,0.38,2,12,1,2-12-1
base4-101,Computer Search,101,base4,Base Set 2,2.72,2,12,2,2-12-2
base4-102,Imposter Professor Oak,102,base4,Base Set 2,2.11,2,12,3,2-12-3
base4-103,Item Finder,103,base4,Base Set 2,7.48,2,12,4,2-12-4
base4-104,Lass,104,base4,Base Set 2,2.78,2,12,5,2-12-5
base4-105,Pokémon Breeder,105,base4,Base Set 2,4.5,2,12,6,2-12-6
base4-106,Pokémon Trader,106,base4,Base Set 2,3.2,2,12,7,2-12-7
base4-107,Scoop Up,107,base4,Base Set 2,4.1,2,12,8,2-12-8
base4-108,Super Energy Removal,108,base4,Base Set 2,2.56,2,12,9,2-12-9
base4-109,Defender,109,base4,Base Set 2,0.32,2,13,1,2-13-1
base4-110,Energy Retrieval,110,base4,Base Set 2,0.34,2,13,2,2-13-2
base4-111,Full Heal,111,base4,Base Set 2,0.37,2,13,3,2-13-3
base4-112,Maintenance,112,base4,Base Set 2,0.74,2,13,4,2-13-4
base4-113,PlusPower,113,base4,Base Set 2,0.36,2,13,5,2-13-5
base4-114,Pokémon Center,114,base4,Base Set 2,0.89,2,13,6,2-13-6
base4-115,Pokédex,115,base4,Base Set 2,0.46,2,13,7,2-13-7
base4-116,Professor Oak,116,base4,Base Set 2,1.27,2,13,8,2-13-8
base4-117,Super Potion,117,base4,Base Set 2,0.32,2,13,9,2-13-9
base4-118,Bill,118,base4,Base Set 2,0.33,2,14,1,2-14-1
base4-119,Energy Removal,119,base4,Base Set 2,0.3,2,14,2,2-14-2
base4-120,Gust of Wind,120,base4,Base Set 2,0.36,2,14,3,2-14-3
base4-121,Poké Ball,121,base4,Base Set 2,0.28,2,14,4,2-14-4
base4-122,Potion,122,base4,Base Set 2,0.2,2,14,5,2-14-5
base4-123,Switch,123,base4,Base Set 2,0.32,2,14,6,2-14-6
base4-124,Double Colorless Energy,124,base4,Base Set 2,2.29,2,14,7,2-14-7
base4-125,Fighting Energy,125,base4,Base Set 2,0.3,2,14,8,2-14-8
base4-126,Fire Energy,126,base4,Base Set 2,0.75,2,14,9,2-14-9
base4-127,Grass Energy,127,base4,Base Set 2,0.29,2,15,1,2-15-1
base4-128,Lightning Energy,128,base4,Base Set 2,0.37,2,15,2,2-15-2
base4-129,Psychic Energy,129,base4,Base Set 2,0.3,2,15,3,2-15-3
base4-130,Water Energy,130,base4,Base Set 2,0.23,2,15,4,2-15-4
base4-4,Charizard,4,base4,Base Set 2,297.08,2,15,5,2-15-5
base4-2,Blastoise,2,base4,Base Set 2,102.11,2,15,6,2-15-6
base4-18,Venusaur,18,base4,Base Set 2,73.03,2,15,7,2-15-7
base4-10,Mewtwo,10,base4,Base Set 2,39.96,2,15,8,2-15-8
base4-20,Zapdos,20,base4,Base Set 2,24.0,2,15,9,2-15-9
base4-16,Raichu,16,base4,Base Set 2,33.01,2,16,1,2-16-1
base4-17,Scyther,17,base4,Base Set 2,24.35,2,16,2,2-16-2
base4-19,Wigglytuff,19,base4,Base Set 2,11.14,2,16,3,2-16-3
base4-14,Pidgeot,14,base4,Base Set 2,27.11,2,16,4,2-16-4
base4-12,Nidoqueen,12,base4,Base Set 2,22.99,2,16,5,2-16-5
base4-11,Nidoking,11,base4,Base Set 2,23.83,2,16,6,2-16-6
base4-1,Alakazam,1,base4,Base Set 2,36.39,2,16,7,2-16-7
base4-7,Gyarados,7,base4,Base Set 2,26.74,2,16,8,2-16-8
base4-3,Chansey,3,base4,Base Set 2,14.35,2,16,9,2-16-9
base4-5,Clefable,5,base4,Base Set 2,14.19,2,17,1,2-17-1
base4-87,Pikachu,87,base4,Base Set 2,2.32,2,17,2,2-17-2
base4-67,Bulbasaur,67,base4,Base Set 2,2.29,2,17,3,2-17-3
base4-69,Charmander,69,base4,Base Set 2,1.12,2,17,4,2-17-4
base4-93,Squirtle,93,base4,Base Set 2,1.03,2,17,5,2-17-5
base4-86,Pidgey,86,base4,Base Set 2,0.56,2,17,6,2-17-6
base4-89,Rattata,89,base4,Base Set 2,0.49,2,17,7,2-17-7
base4-6,Clefairy,6,base4,Base Set 2,10.74,2,17,8,2-17-8
base4-50,Magikarp,50,base4,Base Set 2,0.91,2,17,9,2-17-9
base4-65,Abra,65,base4,Base Set 2,0.43,2,18,1,2-18-1
base4-78,Machop,78,base4,Base Set 2,0.43,2,18,2,2-18-2
base4-79,Magnemite,79,base4,Base Set 2,0.43,2,18,3,2-18-3
base4-75,Gastly,75,base4,Base Set 2,0.47,2,18,4,2-18-4
base4-99,Vulpix,99,base4,Base Set 2,0.81,2,18,5,2-18-5
base4-60,Ponyta,60,base4,Base Set 2,0.57,2,18,6,2-18-6
base4-100,Weedle,100,base4,Base Set 2,0.38,2,18,7,2-18-7
base4-68,Caterpie,68,base4,Base Set 2,0.42,2,18,8,2-18-8
base4-88,Poliwag,88,base4,Base Set 2,0.36,2,18,9,2-18-9
base4-57,Poliwhirl,57,base4,Base Set 2,0.9,2,19,1,2-19-1
base4-44,Ivysaur,44,base4,Base Set 2,3.63,2,19,2,2-19-2
base4-63,Wartortle,63,base4,Base Set 2,1.68,2,19,3,2-19-3
base4-35,Charmeleon,35,base4,Base Set 2,1.7,2,19,4,2-19-4
base4-46,Kadabra,46,base4,Base Set 2,1.26,2,19,5,2-19-5
base4-49,Machoke,49,base4,Base Set 2,0.59,2,19,6,2-19-6
base4-47,Kakuna,47,base4,Base Set 2,0.68,2,19,7,2-19-7
base4-81,Metapod,81,base4,Base Set 2,0.44,2,19,8,2-19-8
base4-22,Dragonair,22,base4,Base Set 2,8.58,2,19,9,2-19-9
base4-38,Dratini,38,base4,Base Set 2,1.18,2,20,1,2-20-1
base4-42,Growlithe,42,base4,Base Set 2,1.25,2,20,2,2-20-2
base4-33,Arcanine,33,base4,Base Set 2,2.09,2,20,3,2-20-3
base4-25,Electrode,25,base4,Base Set 2,3.89,2,20,4,2-20-4
base4-24,Electabuzz,24,base4,Base Set 2,3.22,2,20,5,2-20-5
base4-124,Double Colorless Energy,124,base4,Base Set 2,2.29,2,20,6,2-20-6
base4-116,Professor Oak,116,base4,Base Set 2,1.27,2,20,7,2-20-7
base4-118,Bill,118,base4,Base Set 2,0.33,2,20,8,2-20-8
base4-119,Energy Removal,119,base4,Base Set 2,0.3,2,20,9,2-20-9
base1-1,Alakazam,1,base1,Base,56.53,1,1,1,1-1-1
base1-2,Blastoise,2,base1,Base,155.97,1,1,2,1-1-2
base1-3,Chansey,3,base1,Base,30.64,1,1,3,1-1-3
base1-4,Charizard,4,base1,Base,457.11,1,1,4,1-1-4
base1-5,Clefairy,5,base1,Base,25.87,1,1,5,1-1-5
base1-6,Gyarados,6,base1,Base,32.99,1,1,6,1-1-6
base1-7,Hitmonchan,7,base1,Base,18.56,1,1,7,1-1-7
base1-8,Machamp,8,base1,Base,0.0,1,1,8,1-1-8
base1-9,Magneton,9,base1,Base,20.8,1,1,9,1-1-9
base1-10,Mewtwo,10,base1,Base,35.77,1,2,1,1-2-1
base1-11,Nidoking,11,base1,Base,27.78,1,2,2,1-2-2
base1-12,Ninetales,12,base1,Base,23.3,1,2,3,1-2-3
base1-13,Poliwrath,13,base1,Base,21.86,1,2,4,1-2-4
base1-14,Raichu,14,base1,Base,44.92,1,2,5,1-2-5
base1-15,Venusaur,15,base1,Base,113.99,1,2,6,1-2-6
base1-16,Zapdos,16,base1,Base,38.51,1,2,7,1-2-7
base1-17,Beedrill,17,base1,Base,3.7,1,2,8,1-2-8
base1-18,Dragonair,18,base1,Base,15.28,1,2,9,1-2-9
base1-19,Dugtrio,19,base1,Base,6.68,1,3,1,1-3-1
base1-20,Electabuzz,20,base1,Base,7.25,1,3,2,1-3-2
base1-21,Electrode,21,base1,Base,6.26,1,3,3,1-3-3
base1-22,Pidgeotto,22,base1,Base,8.49,1,3,4,1-3-4
base1-23,Arcanine,23,base1,Base,3.33,1,3,5,1-3-5
base1-24,Charmeleon,24,base1,Base,1.65,1,3,6,1-3-6
base1-25,Dewgong,25,base1,Base,2.34,1,3,7,1-3-7
base1-26,Dratini,26,base1,Base,2.16,1,3,8,1-3-8
base1-27,Farfetch'd,27,base1,Base,1.29,1,3,9,1-3-9
base1-28,Growlithe,28,base1,Base,1.19,1,4,1,1-4-1
base1-29,Haunter,29,base1,Base,1.49,1,4,2,1-4-2
base1-30,Ivysaur,30,base1,Base,2.28,1,4,3,1-4-3
base1-31,Jynx,31,base1,Base,0.8,1,4,4,1-4-4
base1-32,Kadabra,32,base1,Base,1.5,1,4,5,1-4-5
base1-33,Kakuna,33,base1,Base,1.07,1,4,6,1-4-6
base1-34,Machoke,34,base1,Base,0.68,1,4,7,1-4-7
base1-35,Magikarp,35,base1,Base,2.34,1,4,8,1-4-8
base1-36,Magmar,36,base1,Base,2.86,1,4,9,1-4-9
base1-37,Nidorino,37,base1,Base,1.88,1,5,1,1-5-1
base1-38,Poliwhirl,38,base1,Base,1.65,1,5,2,1-5-2
base1-39,Porygon,39,base1,Base,2.47,1,5,3,1-5-3
base1-40,Raticate,40,base1,Base,2.11,1,5,4,1-5-4
base1-41,Seel,41,base1,Base,1.08,1,5,5,1-5-5
base1-42,Wartortle,42,base1,Base,2.61,1,5,6,1-5-6
base1-43,Abra,43,base1,Base,0.61,1,5,7,1-5-7
base1-44,Bulbasaur,44,base1,Base,2.04,1,5,8,1-5-8
base1-45,Caterpie,45,base1,Base,1.09,1,5,9,1-5-9
base1-46,Charmander,46,base1,Base,1.59,1,6,1,1-6-1
base1-47,Diglett,47,base1,Base,0.55,1,6,2,1-6-2
base1-48,Doduo,48,base1,Base,1.33,1,6,3,1-6-3
base1-49,Drowzee,49,base1,Base,0.53,1,6,4,1-6-4
base1-50,Gastly,50,base1,Base,0.71,1,6,5,1-6-5
base1-51,Koffing,51,base1,Base,0.5,1,6,6,1-6-6
base1-52,Machop,52,base1,Base,0.35,1,6,7,1-6-7
base1-53,Magnemite,53,base1,Base,0.55,1,6,8,1-6-8
base1-54,Metapod,54,base1,Base,0.78,1,6,9,1-6-9
base1-55,Nidoran ♂,55,base1,Base,0.48,1,7,1,1-7-1
base1-56,Onix,56,base1,Base,0.66,1,7,2,1-7-2
base1-57,Pidgey,57,base1,Base,1.21,1,7,3,1-7-3
base1-58,Pikachu,58,base1,Base,3.07,1,7,4,1-7-4
base1-59,Poliwag,59,base1,Base,0.49,1,7,5,1-7-5
base1-60,Ponyta,60,base1,Base,0.35,1,7,6,1-7-6
base1-61,Rattata,61,base1,Base,0.6,1,7,7,1-7-7
base1-62,Sandshrew,62,base1,Base,0.66,1,7,8,1-7-8
base1-63,Squirtle,63,base1,Base,2.9,1,7,9,1-7-9
base1-64,Starmie,64,base1,Base,0.51,1,8,1,1-8-1
base1-65,Staryu,65,base1,Base,0.35,1,8,2,1-8-2
base1-66,Tangela,66,base1,Base,0.87,1,8,3,1-8-3
base1-67,Voltorb,67,base1,Base,1.56,1,8,4,1-8-4
base1-68,Vulpix,68,base1,Base,0.46,1,8,5,1-8-5
base1-69,Weedle,69,base1,Base,0.43,1,8,6,1-8-6
base1-70,Clefairy Doll,70,base1,Base,5.61,1,8,7,1-8-7
base1-71,Computer Search,71,base1,Base,3.16,1,8,8,1-8-8
base1-72,Devolution Spray,72,base1,Base,4.83,1,8,9,1-8-9
base1-73,Impostor Professor Oak,73,base1,Base,6.39,1,9,1,1-9-1
base1-74,Item Finder,74,base1,Base,8.33,1,9,2,1-9-2
base1-75,Lass,75,base1,Base,2.59,1,9,3,1-9-3
base1-76,Pokémon Breeder,76,base1,Base,7.05,1,9,4,1-9-4
base1-77,Pokémon Trader,77,base1,Base,4.22,1,9,5,1-9-5
base1-78,Scoop Up,78,base1,Base,6.89,1,9,6,1-9-6
base1-79,Super Energy Removal,79,base1,Base,3.05,1,9,7,1-9-7
base1-80,Defender,80,base1,Base,1.42,1,9,8,1-9-8
base1-81,Energy Retrieval,81,base1,Base,0.79,1,9,9,1-9-9
base1-82,Full Heal,82,base1,Base,1.51,1,10,1,1-10-1
base1-83,Maintenance,83,base1,Base,2.36,1,10,2,1-10-2
base1-84,PlusPower,84,base1,Base,0.65,1,10,3,1-10-3
base1-85,Pokémon Center,85,base1,Base,1.62,1,10,4,1-10-4
base1-86,Pokémon Flute,86,base1,Base,2.81,1,10,5,1-10-5
base1-87,Pokédex,87,base1,Base,0.41,1,10,6,1-10-6
base1-88,Professor Oak,88,base1,Base,1.44,1,10,7,1-10-7
base1-89,Revive,89,base1,Base,2.33,1,10,8,1-10-8
base1-90,Super Potion,90,base1,Base,0.32,1,10,9,1-10-9
base1-91,Bill,91,base1,Base,0.36,1,11,1,1-11-1
base1-92,Energy Removal,92,base1,Base,0.52,1,11,2,1-11-2
base1-93,Gust of Wind,93,base1,Base,0.29,1,11,3,1-11-3
base1-94,Potion,94,base1,Base,0.26,1,11,4,1-11-4
base1-95,Switch,95,base1,Base,0.26,1,11,5,1-11-5
base1-96,Double Colorless Energy,96,base1,Base,5.62,1,11,6,1-11-6
base1-97,Fighting Energy,97,base1,Base,0.25,1,11,7,1-11-7
base1-98,Fire Energy,98,base1,Base,0.31,1,11,8,1-11-8
base1-99,Grass Energy,99,base1,Base,0.28,1,11,9,1-11-9
base1-100,Lightning Energy,100,base1,Base,0.33,1,12,1,1-12-1
base1-101,Psychic Energy,101,base1,Base,0.36,1,12,2,1-12-2
base1-102,Water Energy,102,base1,Base,0.28,1,12,3,1-12-3
base1-4,Charizard,4,base1,Base,457.11,1,12,4,1-12-4
base1-2,Blastoise,2,base1,Base,155.97,1,12,5,1-12-5
base1-15,Venusaur,15,base1,Base,113.99,1,12,6,1-12-6
base1-10,Mewtwo,10,base1,Base,35.77,1,12,7,1-12-7
base1-16,Zapdos,16,base1,Base,38.51,1,12,8,1-12-8
base1-14,Raichu,14,base1,Base,44.92,1,12,9,1-12-9
base1-1,Alakazam,1,base1,Base,56.53,1,13,1,1-13-1
base1-3,Chansey,3,base1,Base,30.64,1,13,2,1-13-2
base1-12,Ninetales,12,base1,Base,23.3,1,13,3,1-13-3
base1-8,Machamp,8,base1,Base,0.0,1,13,4,1-13-4
base1-4,Charizard,4,base1,Base,457.11,1,13,5,1-13-5
base1-10,Mewtwo,10,base1,Base,35.77,1,13,6,1-13-6
base1-58,Pikachu,58,base1,Base,3.07,1,13,7,1-13-7
base1-44,Bulbasaur,44,base1,Base,2.04,1,13,8,1-13-8
base1-46,Charmander,46,base1,Base,1.59,1,13,9,1-13-9
base1-63,Squirtle,63,base1,Base,2.9,1,14,1,1-14-1
base1-57,Pidgey,57,base1,Base,1.21,1,14,2,1-14-2
base1-61,Rattata,61,base1,Base,0.6,1,14,3,1-14-3
base1-5,Clefairy,5,base1,Base,25.87,1,14,4,1-14-4
base1-31,Jynx,31,base1,Base,0.8,1,14,5,1-14-5
base1-35,Magikarp,35,base1,Base,2.34,1,14,6,1-14-6
base1-43,Abra,43,base1,Base,0.61,1,14,7,1-14-7
base1-52,Machop,52,base1,Base,0.35,1,14,8,1-14-8
base1-53,Magnemite,53,base1,Base,0.55,1,14,9,1-14-9
base1-51,Koffing,51,base1,Base,0.5,1,15,1,1-15-1
base1-50,Gastly,50,base1,Base,0.71,1,15,2,1-15-2
base1-68,Vulpix,68,base1,Base,0.46,1,15,3,1-15-3
base1-60,Ponyta,60,base1,Base,0.35,1,15,4,1-15-4
base1-49,Drowzee,49,base1,Base,0.53,1,15,5,1-15-5
base1-47,Diglett,47,base1,Base,0.55,1,15,6,1-15-6
base1-69,Weedle,69,base1,Base,0.43,1,15,7,1-15-7
base1-45,Caterpie,45,base1,Base,1.09,1,15,8,1-15-8
base1-55,Nidoran ♂,55,base1,Base,0.48,1,15,9,1-15-9
base1-59,Poliwag,59,base1,Base,0.49,1,16,1,1-16-1
base1-38,Poliwhirl,38,base1,Base,1.65,1,16,2,1-16-2
base1-30,Ivysaur,30,base1,Base,2.28,1,16,3,1-16-3
base1-42,Wartortle,42,base1,Base,2.61,1,16,4,1-16-4
base1-24,Charmeleon,24,base1,Base,1.65,1,16,5,1-16-5
base1-32,Kadabra,32,base1,Base,1.5,1,16,6,1-16-6
base1-34,Machoke,34,base1,Base,0.68,1,16,7,1-16-7
base1-33,Kakuna,33,base1,Base,1.07,1,16,8,1-16-8
base1-54,Metapod,54,base1,Base,0.78,1,16,9,1-16-9
base1-18,Dragonair,18,base1,Base,15.28,1,17,1,1-17-1
base1-26,Dratini,26,base1,Base,2.16,1,17,2,1-17-2
base1-28,Growlithe,28,base1,Base,1.19,1,17,3,1-17-3
base1-23,Arcanine,23,base1,Base,3.33,1,17,4,1-17-4
base1-21,Electrode,21,base1,Base,6.26,1,17,5,1-17-5
base1-20,Electabuzz,20,base1,Base,7.25,1,17,6,1-17-6
base1-64,Starmie,64,base1,Base,0.51,1,17,7,1-17-7
base1-65,Staryu,65,base1,Base,0.35,1,17,8,1-17-8
base1-96,Double Colorless Energy,96,base1,Base,5.62,1,17,9,1-17-9
base1-88,Professor Oak,88,base1,Base,1.44,1,18,1,1-18-1
base1-91,Bill,91,base1,Base,0.36,1,18,2,1-18-2
base1-92,Energy Removal,92,base1,Base,0.52,1,18,3,1-18-3
base1-87,Pokédex,87,base1,Base,0.41,1,18,4,1-18-4
base1-95,Switch,95,base1,Base,0.26,1,18,5,1-18-5
base1-94,Potion,94,base1,Base,0.26,1,18,6,1-18-6
base1-90,Super Potion,90,base1,Base,0.32,1,18,7,1-18-7
base1-85,Pokémon Center,85,base1,Base,1.62,1,18,8,1-18-8
base1-81,Energy Retrieval,81,base1,Base,0.79,1,18,9,1-18-9
base1-98,Fire Energy,98,base1,Base,0.31,1,19,1,1-19-1
base1-100,Lightning Energy,100,base1,Base,0.33,1,19,2,1-19-2
base1-102,Water Energy,102,base1,Base,0.28,1,19,3,1-19-3
base1-99,Grass Energy,99,base1,Base,0.28,1,19,4,1-19-4
base1-101,Psychic Energy,101,base1,Base,0.36,1,19,5,1-19-5
base1-97,Fighting Energy,97,base1,Base,0.25,1,19,6,1-19-6
base1-96,Double Colorless Energy,96,base1,Base,5.62,1,19,7,1-19-7
base1-4,Charizard,4,base1,Base,457.11,1,19,8,1-19-8
base1-2,Blastoise,2,base1,Base,155.97,1,19,9,1-19-9
base1-15,Venusaur,15,base1,Base,113.99,1,20,1,1-20-1
base1-10,Mewtwo,10,base1,Base,35.77,1,20,2,1-20-2
base1-16,Zapdos,16,base1,Base,38.51,1,20,3,1-20-3
base1-6,Gyarados,6,base1,Base,32.99,1,20,4,1-20-4
base1-13,Poliwrath,13,base1,Base,21.86,1,20,5,1-20-5
base1-11,Nidoking,11,base1,Base,27.78,1,20,6,1-20-6
base1-7,Hitmonchan,7,base1,Base,18.56,1,20,7,1-20-7
base1-9,Magneton,9,base1,Base,20.8,1,20,8,1-20-8
base1-3,Chansey,3,base1,Base,30.64,1,20,9,1-20-9
